"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements","even_split_commitments","even_split_disbursements"
"34474","34474_1905123","3","1905123","Đông Anh District","21.13519","105.8423","ADM2","second-order administrative division","6295630|6255147|VN|44|1905123","Earth|Asia|Vietnam|Thành Phố Hà Nội|Đông Anh District","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_8609068","3","8609068","Bình Xuyên District","21.30561","105.66225","ADM2","second-order administrative division","6295630|6255147|VN|86|8609068","Earth|Asia|Vietnam|Tỉnh Vĩnh Phúc|Bình Xuyên District","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905533","3","1905533","Cao Lộc District","21.89857","106.85435","ADM2","second-order administrative division","6295630|6255147|VN|39|1905533","Earth|Asia|Vietnam|Tỉnh Lạng Sơn|Cao Lộc District","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905125","3","1905125","Gia Lâm District","21.03156","105.97432","ADM2","second-order administrative division","6295630|6255147|VN|44|1905125","Earth|Asia|Vietnam|Thành Phố Hà Nội|Gia Lâm District","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905538","3","1905538","Hữu Lũng District","21.54474","106.34386","ADM2","second-order administrative division","6295630|6255147|VN|39|1905538","Earth|Asia|Vietnam|Tỉnh Lạng Sơn|Hữu Lũng District","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905586","3","1905586","Hạ Hòa District","21.57763","104.99464","ADM2","second-order administrative division","6295630|6255147|VN|83|1905586","Earth|Asia|Vietnam|Tỉnh Phú Thọ|Hạ Hòa District","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905007","3","1905007","Huyện Bảo Thắng","22.36896","104.13893","ADM2","second-order administrative division","6295630|6255147|VN|90|1905007","Earth|Asia|Vietnam|Tỉnh Lào Cai|Huyện Bảo Thắng","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905012","3","1905012","Huyện Bảo Yên","22.26109","104.46424","ADM2","second-order administrative division","6295630|6255147|VN|90|1905012","Earth|Asia|Vietnam|Tỉnh Lào Cai|Huyện Bảo Yên","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905535","3","1905535","Huyện Chi Lăng","21.67602","106.62925","ADM2","second-order administrative division","6295630|6255147|VN|39|1905535","Earth|Asia|Vietnam|Tỉnh Lạng Sơn|Huyện Chi Lăng","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905441","3","1905441","Huyện Lạng Giang","21.37743","106.25866","ADM2","second-order administrative division","6295630|6255147|VN|71|1905441","Earth|Asia|Vietnam|Tỉnh Bắc Giang|Huyện Lạng Giang","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905573","3","1905573","Huyện Mê Linh","21.18245","105.7114","ADM2","second-order administrative division","6295630|6255147|VN|44|1905573","Earth|Asia|Vietnam|Thành Phố Hà Nội|Huyện Mê Linh","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
"34474","34474_1905500","3","1905500","Huyện Phổ Yên","21.41206","105.82432","ADM2","second-order administrative division","6295630|6255147|VN|85|1905500","Earth|Asia|Vietnam|Tỉnh Thái Nguyên|Huyện Phổ Yên","1","1","1","US$64 million in concessional loan for Northern railway lines information signals","","start-actual","","end-actual","China","CHN","Viet Nam","VNM","210","Transport and Storage","Implementation","2003","2003","103108974.4","0.0","2713394.06316","0.0"
