"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"34474","34474_1905123","3","1905123","Đông Anh District","21.13519","105.8423","ADM2","second-order administrative division","6295630|6255147|VN|44|1905123","Earth|Asia|Vietnam|Thành Phố Hà Nội|Đông Anh District","1","1"
"34616","34616_1905124","3","1905124","Đống Đa District","21.01348","105.82679","ADM2","second-order administrative division","6295630|6255147|VN|44|1905124","Earth|Asia|Vietnam|Thành Phố Hà Nội|Đống Đa District","1","2"
"38832","38832_7910208","3","7910208","Abel Iturralde","-13.19785","-68.02663","ADM2","second-order administrative division","6295630|6255150|BO|04|7910208","Earth|South America|Bolivia|Departamento de La Paz|Abel Iturralde","1","1"
"32133","32133_9253754","3","9253754","Aoral","11.73667","104.06105","ADM2","second-order administrative division","6295630|6255147|KH|04|9253754","Earth|Asia|Cambodia|Kampong Speu|Aoral","1","1"
"34474","34474_8609068","3","8609068","Bình Xuyên District","21.30561","105.66225","ADM2","second-order administrative division","6295630|6255147|VN|86|8609068","Earth|Asia|Vietnam|Tỉnh Vĩnh Phúc|Bình Xuyên District","1","1"
"30615","30615_161288","3","161288","Bagamoyo District","-6.30757","38.46654","ADM2","second-order administrative division","6295630|6255146|TZ|02|161288","Earth|Africa|Tanzania|Pwani|Bagamoyo District","1","2"
"30602","30602_161288","3","161288","Bagamoyo District","-6.30757","38.46654","ADM2","second-order administrative division","6295630|6255146|TZ|02|161288","Earth|Africa|Tanzania|Pwani|Bagamoyo District","1","1"
"30597","30597_161288","3","161288","Bagamoyo District","-6.30757","38.46654","ADM2","second-order administrative division","6295630|6255146|TZ|02|161288","Earth|Africa|Tanzania|Pwani|Bagamoyo District","1","1"
"32146","32146_7647222","3","7647222","Baray","12.42","105.06","ADM2","second-order administrative division","6295630|6255147|KH|05|7647222","Earth|Asia|Cambodia|Kampong Thom|Baray","1","2"
"32128","32128_7647222","3","7647222","Baray","12.42","105.06","ADM2","second-order administrative division","6295630|6255147|KH|05|7647222","Earth|Asia|Cambodia|Kampong Thom|Baray","1","1"
"32252","32252_7647222","3","7647222","Baray","12.42","105.06","ADM2","second-order administrative division","6295630|6255147|KH|05|7647222","Earth|Asia|Cambodia|Kampong Thom|Baray","1","1"
"33064","33064_7647218","3","7647218","Baribour","12.43","104.47","ADM2","second-order administrative division","6295630|6255147|KH|03|7647218","Earth|Asia|Cambodia|Kampong Chhnang|Baribour","1","1"
"37190","37190_3688007","3","3688007","Cajicá","4.91284","-74.05261","ADM2","second-order administrative division","6295630|6255150|CO|33|3688007","Earth|South America|Colombia|Cundinamarca|Cajicá","1","1"
"35982","35982_3653402","3","3653402","Cantón Pasaje","-3.33333","-79.81667","ADM2","second-order administrative division","6295630|6255150|EC|08|3653402","Earth|South America|Ecuador|Provincia de El Oro|Cantón Pasaje","1","1"
"35982","35982_3649913","3","3649913","Cantón Zaruma","-3.68333","-79.61667","ADM2","second-order administrative division","6295630|6255150|EC|08|3649913","Earth|South America|Ecuador|Provincia de El Oro|Cantón Zaruma","1","1"
"34474","34474_1905533","3","1905533","Cao Lộc District","21.89857","106.85435","ADM2","second-order administrative division","6295630|6255147|VN|39|1905533","Earth|Asia|Vietnam|Tỉnh Lạng Sơn|Cao Lộc District","1","1"
"37190","37190_3686677","3","3686677","Chía","4.84452","-74.05848","ADM2","second-order administrative division","6295630|6255150|CO|33|3686677","Earth|South America|Colombia|Cundinamarca|Chía","1","1"
"32146","32146_7647221","3","7647221","Cheung Prey","12.1","105.07","ADM2","second-order administrative division","6295630|6255147|KH|02|7647221","Earth|Asia|Cambodia|Kampong Cham|Cheung Prey","1","2"
"32128","32128_7647221","3","7647221","Cheung Prey","12.1","105.07","ADM2","second-order administrative division","6295630|6255147|KH|02|7647221","Earth|Asia|Cambodia|Kampong Cham|Cheung Prey","1","1"
"35272","35272_9253777","3","9253777","Chhloung","12.17723","106.11558","ADM2","second-order administrative division","6295630|6255147|KH|09|9253777","Earth|Asia|Cambodia|Kratie|Chhloung","1","1"
"33092","33092_9072882","3","9072882","Chhouk District","10.81667","104.45","ADM2","second-order administrative division","6295630|6255147|KH|21|9072882","Earth|Asia|Cambodia|Kampot|Chhouk District","1","1"
"32146","32146_9253803","3","9253803","Chi Kraeng","13.20771","104.37154","ADM2","second-order administrative division","6295630|6255147|KH|24|9253803","Earth|Asia|Cambodia|Siem Reap|Chi Kraeng","1","2"
"38785","38785_9253803","3","9253803","Chi Kraeng","13.20771","104.37154","ADM2","second-order administrative division","6295630|6255147|KH|24|9253803","Earth|Asia|Cambodia|Siem Reap|Chi Kraeng","1","1"
"32128","32128_9253803","3","9253803","Chi Kraeng","13.20771","104.37154","ADM2","second-order administrative division","6295630|6255147|KH|24|9253803","Earth|Asia|Cambodia|Siem Reap|Chi Kraeng","1","1"
"37190","37190_3686135","3","3686135","Cogua","5.08474","-73.9949","ADM2","second-order administrative division","6295630|6255150|CO|33|3686135","Earth|South America|Colombia|Cundinamarca|Cogua","1","1"
"37190","37190_3685734","3","3685734","Cota","4.77601","-74.14335","ADM2","second-order administrative division","6295630|6255150|CO|33|3685734","Earth|South America|Colombia|Cundinamarca|Cota","1","1"
