"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"35721","1","China Donates $30,000 USD to Bolivian Red Cross Society to Aid Mud-rock Flow Victims","","start-actual","","end-actual","China","CHN","Bolivia","BOL","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion","2003","2003","48332.33177","0.0"
"37417","1"," China and Bolivia Signed the Exchange of Notes Concerning Informatization Project","","start-actual","2009-12-23","end-actual","China","CHN","Bolivia","BOL","150","Government and Civil Society","Completion","2008","2009","523850.3484","0.0"
"37476","1"," The Governments of China and Bolivia signed Debt Relief Protocol ","","start-actual","","end-actual","China","CHN","Bolivia","BOL","600","Action Relating to Debt","Completion"," "," ","0.0","0.0"
"35927","1","China loans Bolivia $60 Million USD for Energy Investments","","start-actual","","end-actual","China","CHN","Bolivia","BOL","230","Energy Generation and Supply","Completion","2009","2009","60000000.0","0.0"
"35956","1","China Donated $530,000 USD to Chancellery of Bolivia for Computer Equipment","","start-actual","","end-actual","China","CHN","Bolivia","BOL","220","Communications","Completion","2009","2009","530000.0","0.0"
"37408","1","China and Bolivia Signed the Exchange of Notes Concerning the Establishment of the Spot Exchange Project of $300,000 in Cash","","start-actual","","end-actual","China","CHN","Bolivia","BOL","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion","2009","2009","300000.0","0.0"
"37415","1","China and Bolivia Signed the Exchange of Notes Concerning the Elementary Schools Construction Project in Orinoco Areas of Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","110","Education","Completion"," "," ","0.0","0.0"
"38177","1","CDB finances 85% of Bolivia's Túpac Katari (TKSAT-1) satellite","","start-actual","2013-12-21","end-actual","China","CHN","Bolivia","BOL","220","Communications","Completion","2010","2013","233464030.8","0.0"
"35971","1","China Donates Water Drillers and Cargo Trucks to Bolivia to Combat Drought","","start-actual","","end-actual","China","CHN","Bolivia","BOL","700","Humanitarian Aid (Including Reconstruction and Recovery)","Completion"," "," ","0.0","0.0"
"36009","1","China Donates Customs Control Scanner to Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","150","Government and Civil Society","Completion"," "," ","0.0","0.0"
"39075","1","First Confucius Institute in Bolivia opened at the University of San Simon","","start-actual","","end-actual","China","CHN","Bolivia","BOL","110","Education","Completion"," "," ","0.0","0.0"
"36031","1","Bolivian Army Construction Command Receives Water Drilling Equipment from China","","start-actual","","end-actual","China","CHN","Bolivia","BOL","140","Water Supply and Sanitation","Completion","2012","2012","3782160.975","0.0"
"39428","1","EXIM extends 250 million Yuan credit line Agricultural Credit Program","","start-actual","","end-actual","China","CHN","Bolivia","BOL","310","Agriculture, Forestry, Fishing","Implementation","2004","2004","45514717.91","0.0"
"39433","1","China Donates Computers to Ministry of Education","","start-actual","","end-actual","China","CHN","Bolivia","BOL","110","Education","Implementation"," "," ","0.0","0.0"
"36003","1","China Development Bank Will Contribute $10 Million USD to Bolivia ","","start-actual","","end-actual","China","CHN","Bolivia","BOL","220","Communications","Pipeline/identification","2011","2011","8289504.114","0.0"
"35726","1","China Finances $15 million USD for Mining Reactivation in Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","320","Industry, Mining, Construction","Pipeline/identification","2004","2004","22602975.31","0.0"
"35772","1","China Extends $30 Million USD Loan to Bolivia for Infrastructure","","start-actual","","end-actual","China","CHN","Bolivia","BOL","430","Other","Pipeline/identification","2005","2005","43063166.3","0.0"
"35802","1","China Signs Agreement to Donate $1.2 Million USD to Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","430","Other","Pipeline/identification","2006","2006","1614960.686","0.0"
