"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"9XutDc3fxJfAV8ehnfFShZ","35721","","2003","C","USD","48332.33177"
"XPU2Egy6d4ZTgx8CBVZv2d","37417","","2008","C","USD","523850.3484"
"D7ssY7CpHgFXsC4VEUvZfD","35927","","2009","C","USD","60000000.0"
"jK7iPJSAUibdMxreLyB6KS","35956","","2009","C","USD","530000.0"
"APpobWdVFd2fKYz53tLmCf","37408","","2009","C","USD","300000.0"
"DKJHTSGydkeVg6ybXhYCeA","38177","","2010","C","USD","233464030.8"
"49S8MWo8wKr4eN5MiFEUVQ","36031","","2012","C","USD","3782160.975"
"EDqxA8wK7jTXa6BhvbRAKT","39428","","2004","C","USD","45514717.91"
"5FD5oeySS2LQBybiuhKrqG","36003","","2011","C","USD","8289504.114"
"3JUzL7wJFDuD5Zk3aA3CdF","35726","","2004","C","USD","22602975.31"
"oknBZSCnNMd3B7m6LkZUB5","35772","","2005","C","USD","43063166.3"
"7YhSeKGkmRYZaGzMUSv4fJ","35802","","2006","C","USD","1614960.686"
"zBX3i7mhuEvGMisthHTytS","35888","","2008","C","USD","60667589.05"
"M4D6He4EikL4oFWhZSiM6m","35917","","2009","C","USD","600000000.0"
"3D7mnMSAhractMpe9psukb","35922","","2009","C","USD","251000000.0"
"jceQo3GNXWXuRPcKGQw6yb","35960","","2010","C","USD","62288312.0"
"eMchevZQ26qXYuyMptd4af","35958","","2010","C","USD","37187051.94"
"wKhpKQWe82tqTqEAVkvj79","36006","","2011","C","USD","159158479.0"
"GkaNaKuDZjtdRqnq9u8D4h","36005","","2011","C","USD","49737024.68"
"2XEJbzKCMHAZ2Mnq8UMkGE","36125","","2012","C","USD","168096043.4"
"c9RxhtayPLYgkZWRTeNnN4","36183","","2013","C","USD","32110091.74"
"fX2BX2WL3sw6sKcyWTEpDn","36118","","2013","C","USD","7339449.541"
"qMjQz7nUv86yk9KBE5jy8V","36121","","2013","C","USD","4128440.367"
"879XARrgPWpF2cHDJCtSB3","38832","","2014","C","USD","526363636.4"
"B8r2eAjC54HJVADRkKKZp7","36269","","2014","C","USD","9090909.091"
"kdkxoSUwergTLwLLqa3JBB","36267","","2014","C","USD","72727272.73"
"oLh4fVGvYi7oUZoVdge34Z","35856","","2014","C","USD","312954545.5"
"eYAJU2KkzmCprto6M6ivjW","39437","","2014","C","USD","7381220.586"
"hYK5YGHzdjUma2z59SYdrJ","36027","","2012","C","USD","20003429.16"
"J2nocZyKSEEjpcVBrrbmda","30058","","2012","C","USD","1130193.661"
"nr5huARv6vDrMMExABSuUj","30096","","2012","C","USD","168096.0434"
"dAFLpb5t8fPuXHzrJuiJr8","30480","","2011","C","USD","12829147.61"
"d9fqCeSd32qFhqs6yX7UAS","30065","","2011","C","USD","1160530.576"
"yGc3cTYC2AqYrLENWHAdWA","30476","","2011","C","USD","6414573.805"
"FFMv9eBxL2HVx4aAGUfvwG","357","","2010","C","USD","5492699.298"
"mbtZc3VeQTY24nRyWCnFPA","345","","2008","C","USD","2022252.968"
"LoNmcSFhFDPsdUw3YMStsA","31196","","2008","C","USD","265926.2653"
"ykpXysrwwVbh33yBCzocnQ","12298","","2008","C","USD","8478573.629"
"vo9XjR7AKiSRaPFrDN7orV","12292","","2008","C","USD","2182709.785"
"PagZXZugkNa2z6mSsHfTwJ","355","","2008","C","USD","582055.9427"
"XjHwrsCKQa5U6PBdVnoua6","824","","2008","C","USD","1712426.624"
"LrFLH6MHYa3xwJ4mqPqsTA","316","","2007","C","USD","33411382.32"
"t6zTPYSMLadQFG6v8xEHK8","12353","","2007","C","USD","21563674.78"
"PFfkimjLmisc2GtncRLbuU","30064","","2007","C","USD","1568609.499"
"2Kgku2bsFn3CpBSq5ehDZK","319","","2007","C","USD","1290136.826"
"LmigrjT2nzexmBETFszMuF","12324","","2007","C","USD","241126.7838"
"VRo84KMaoMawTgAh3uYWKj","825","","2007","C","USD","4705828.496"
"gb8cPJWbxygvrrSEKRCxme","23098","","2006","C","USD","16892187.41"
"sQCLpxYHW8tm7wxuiCVBCG","91","","2004","C","USD","11919302.31"
"wncP29xoYnNo9TCzzt9Nt6","290","","2003","C","USD","5839327.976"
"NDHZm9MhUYVUY7VhJksuPH","277","","2001","C","USD","76028223.57"
"dtDpqk5Hp8JxgVh9UBqSCA","280","","2001","C","USD","4017885.869"
"bpVccDxoJ4ounvs744YEnh","32031","","2000","C","USD","10250920.85"
"FRiUzZUQa2mBCp6uFLLFeb","32022","","2000","C","USD","10250920.85"
"Lerpubx5NubNTDq4WdUnF9","32065","","2000","C","USD","410036.834"
"xtjymCxVvYhPZ27gKraPDi","32062","","2000","C","USD","2050184.17"
"FUhJ6N2ikFgFpQEyEU5VbR","32078","","2000","C","USD","1025092.085"
"FMT9tFRCUqVDw4zef7T9Kf","32104","","2000","C","USD","410036.834"
"Xa85TBH74fw35Bxu5utjmb","32068","","2000","C","USD","1025092.085"
"YTJN7MVyGuX2R5pkcmxNTN","32025","","2001","C","USD","16071543.48"
"jUtNmuQf2nZqgVVaw8hX7B","38884","","2001","C","USD","200894.2935"
"PHvBMmJXFd9HpHjmkvZ2UJ","32033","","2001","C","USD","133025.2636"
"whs6ho6MKA5oq8pSVLXun8","32037","","2001","C","USD","9040243.205"
"MoTFnGqPNyQQPsk5e7fsBk","32040","","2001","C","USD","3214308.695"
"er7ttgheCQw2xgnkmWrdjK","32038","","2001","C","USD","3296675.356"
"4wFjrFK9MDBcsQMGu9iNED","32026","","2001","C","USD","30134.14402"
"zpKyC5E6NZF3bXz4rF7yNF","32029","","2001","C","USD","110491.8614"
"QG66UHW6ZNwMkvBMgS5tLa","33399","","2002","C","USD","9986374.537"
"BdnNoPhVVaHjqeRAks3rwg","32045","","2002","C","USD","24797.03929"
"H9moLcF9PCsGPni47rWDBe","32034","","2002","C","USD","199727.4907"
"pZ3qd9XDJSttzrEWrUh9kB","32042","","2002","C","USD","178538.6829"
"EHtyjiXa8pQarF2E9bNB8Q","32070","","2002","C","USD","199727.4907"
"dQK2GLdW7zKZP32tMfsECi","32080","","2002","C","USD","25623607.26"
"7Ahdw6Zw3sYoRDim8rkQeg","32087","","2002","C","USD","330627190.5"
"mefbPUmF4aMFmAcUsSXwQj","32095","","2002","C","USD","14979561.81"
"BD99jWKhoeNbiwmfNevj3T","32079","","2002","C","USD","9986374.537"
"Kq32KoxH6RDpCXTbyEK976","32077","","2003","C","USD","38665865.42"
"6M3CLhAhHUi4KP9QFyuSya","32067","","2003","C","USD","32221.55451"
"ocir5dRS8ZtQmUykiiAwSZ","32081","","2003","C","USD","9732213.294"
"u4wNRpuYJijmEXzUQ6Wc5P","32089","","2004","C","USD","75343.25102"
"biihM9a2bXLBUVCDU8ovzJ","38889","","2004","C","USD","364117.7433"
"mkAw9eSfgaHfuJHhPG7Gxh","32083","","2004","C","USD","45514717.91"
"XS8eRipVxBmMSc3XyFVQPZ","32102","","2005","C","USD","43793733.36"
"MS4wstT8VpgUdj7QBfWscL","32063","","2005","C","USD","8758746.672"
